Experiment,Name,Embedding,Hamming Loss,HL (Optimal),F1 Micro,F1 Micro (Optimal),F1 Macro,Optimal Threshold
Baseline,LinearSVC (Exp 4),TF-IDF,0.045,0.045,0.6156,0.6156,0.5149,N/A
7,Word2Vec + DeepNN,Word2Vec,0.06288258208124652,0.06413466889259878,0.8005295675198588,0.807996668054977,0.2066304793308995,0.40000000000000013
8,BERT,BERT,0.07220367278797997,0.07220367278797997,0.7809202195018995,0.7809202195018995,0.14207207207207206,0.30000000000000004
9,Word2Vec + DeepNN (Tuned),Word2Vec (tuned),0.05954368391764051,0.05954368391764051,0.8036697247706422,0.8036697247706422,0.18181584346210056,N/A
10,Word2Vec + DeepNN + Class Weights,Word2Vec + Class Weights,0.11588759042849194,0.09849749582637729,0.5914664051005395,0.7293577981651376,0.1264478974210895,0.3500000000000001
